Input,Output
gave me when I was younger_comma_ it was nice to see.  <sep> Thats good that you found the keychain,Yeah it meant a lot to me - almost like a sign! 
good that you found the keychain <sep> Yeah it meant a lot to me - almost like a sign! ,that's very good! Always nice to find those old lost items.  
me he's coming by to fix my leaky sink_comma_ but he never shows up when he says he will_comma_ ugh.,That is seriously the worst... waiting around all day wondering whats going on! Have you tried calling him today? 
That is seriously the worst... waiting around all day wondering whats going on! Have you tried calling him today? ,Oh yeah_comma_ and it goes to his answering machine every time.
on! Have you tried calling him today?  <sep> Oh yeah_comma_ and it goes to his answering machine every time.,Of course right_comma_ I would try angies list or homeadvisor! They can find you a new one...
every time. <sep> Of course right_comma_ I would try angies list or homeadvisor! They can find you a new one...,Thanks I will.
how great of a job he is doing and I know hes doing wrong to get all the sales. ,Oh no. I am sure he will get caught eventually though.
doing wrong to get all the sales.  <sep> Oh no. I am sure he will get caught eventually though.,Doubtful_comma_ but I sure hope so! He gets a 100 dollar bonus every week because of his ways..
though. <sep> Doubtful_comma_ but I sure hope so! He gets a 100 dollar bonus every week because of his ways..,Things you do usually come back to you . 
It was amazing sitting on the stage in that hug auditorium.,What event was taking place?
It was amazing sitting on the stage in that hug auditorium. <sep> What event was taking place?,Music. Some of the hardest music that professionals play.
in that hug auditorium. <sep> What event was taking place? <sep> Music. Some of the hardest music that professionals play.,That's cool you were on stage for that. Were you one of the musicians?
hardest music that professionals play. <sep> That's cool you were on stage for that. Were you one of the musicians?,yes i was
I am satisfied to have a good vacation,Oh yeah what are you doing for your vacation? 
I am satisfied to have a good vacation <sep> Oh yeah what are you doing for your vacation? ,Nothing special. I just travel to my familly. It has been almost a year that I didn't see them.
<sep> Nothing special. I just travel to my familly. It has been almost a year that I didn't see them.,Sounds rather special to me! Out of the country or to another state? 
So the other day my daughter went potty for the first time on her own! ,That is great. It is sweet to see them grow and learn. How old is she?
her own!  <sep> That is great. It is sweet to see them grow and learn. How old is she?,Shes 18 months old_comma_ it really is amazing to see them develop. If only people clapped for us when we used the bathroom... ha ha 
is amazing to see them develop. If only people clapped for us when we used the bathroom... ha ha ,Funny one ha ha
day after dinner my daughter took her trash to the trash on her own. I love watching her develop! ,It is so sweet. Is she able to talk?
trash on her own. I love watching her develop!  <sep> It is so sweet. Is she able to talk?,Shes just starting to try to say full sentences_comma_ but right now its just a lot of babbling and drooling. lol
just starting to try to say full sentences_comma_ but right now its just a lot of babbling and drooling. lol,That should be funny to see and hear
i am angry against a friend that suppose to help me.,That sucks... what was he or she supposed to help you with? 
friend that suppose to help me. <sep> That sucks... what was he or she supposed to help you with? ,I wanted to wall mount my TV but my friend didn't come and turned off his cell phone. I was always helping him for anything.
my TV but my friend didn't come and turned off his cell phone. I was always helping him for anything.,Well I hope you two can talk it out_comma_ express your feelings and work it out together! Friendship is hard to come by these days... 
months ago and didnt realize how much planning is involved! Wow it was a lot to get ready for... ,Traveling is hard work. Where did you go?
involved! Wow it was a lot to get ready for...  <sep> Traveling is hard work. Where did you go?,I went to Peru to visit my family. I try to go every year. 
Where did you go? <sep> I went to Peru to visit my family. I try to go every year. ,Wow. I have never neen that far! I have been to the Caribbean though.
I have a small circle of friends. They are like my family.,Thats awesome_comma_ friends really can be the best. How long have you known them? 
are like my family. <sep> Thats awesome_comma_ friends really can be the best. How long have you known them? ,Around ten years. I let my friends borrow my debit card the other day. A stranger wouldve wiped me out.
Around ten years. I let my friends borrow my debit card the other day. A stranger wouldve wiped me out.,Im glad you have such good friends in your life_comma_ it makes life easier. 
wouldve wiped me out. <sep> Im glad you have such good friends in your life_comma_ it makes life easier. ,Yep. Trust them with my life.
had a meeting at work this week. Turns out we may have to shut down in the next few months.,Omg... thats terrible! Im so sorry - Ive been through similar. Are they going to give you some sort of money upon lay off? 
